<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.04.14	1.05658	1.07043	1.05311	1.06539	77117	0	4
2015.04.15	1.06534	1.07015	1.05705	1.06869	82189	0	4
2015.04.16	1.06869	1.08172	1.06246	1.07592	109153	0	5
2015.04.17	1.07592	1.08481	1.07343	1.08089	92329	0	4
2015.04.20	1.08089	1.08195	1.07120	1.07379	71150	0	4
2015.04.21	1.07379	1.07808	1.06594	1.07333	88718	0	4
2015.04.22	1.07333	1.08004	1.07079	1.07253	92181	0	4
2015.04.23	1.07253	1.08458	1.06655	1.08245	100340	0	4
2015.04.24	1.08245	1.08996	1.07842	1.08700	100443	0	4
2015.04.27	1.08627	1.09263	1.08191	1.08869	86221	0	4
2015.04.28	1.08897	1.09905	1.08595	1.09788	100394	0	4
2015.04.29	1.09767	1.11875	1.09591	1.11265	117774	0	4
2015.04.30	1.11277	1.12659	1.10708	1.12222	143218	0	4
2015.05.01	1.12188	1.12896	1.11742	1.11967	102047	0	4
2015.05.04	1.11922	1.12238	1.11224	1.11469	62220	0	4
2015.05.05	1.11444	1.12203	1.10662	1.11849	21097	0	2
2015.05.06	1.11851	1.13693	1.11749	1.13447	41796	0	1
2015.05.07	1.13473	1.13918	1.12371	1.12657	31166	0	1
2015.05.08	1.12654	1.12876	1.11789	1.12085	34340	0	5
2015.05.11	1.12000	1.12053	1.11305	1.11542	48198	0	6
2015.05.12	1.11544	1.12780	1.11337	1.12127	105463	0	7
2015.05.13	1.12127	1.13821	1.12019	1.13542	86143	0	5
2015.05.14	1.13535	1.14442	1.13402	1.14095	105449	0	5
2015.05.15	1.14094	1.14661	1.13233	1.14466	77665	0	1
2015.05.18	1.14485	1.14485	1.12979	1.13140	51726	0	6
2015.05.19	1.13146	1.13256	1.11184	1.11490	112121	0	7
2015.05.20	1.11506	1.11514	1.10616	1.10932	122301	0	7
2015.05.21	1.10917	1.11807	1.10790	1.11113	109322	0	4
2015.05.22	1.11113	1.12069	1.10016	1.10141	105137	0	7
2015.05.25	1.10052	1.10089	1.09584	1.09769	60698	0	7
2015.05.26	1.09764	1.09806	1.08626	1.08723	113774	0	5
2015.05.27	1.08718	1.09284	1.08185	1.09034	107899	0	7
2015.05.28	1.09035	1.09579	1.08681	1.09473	117478	0	7
2015.05.29	1.09471	1.10053	1.09251	1.09895	104414	0	7
2015.06.01	1.09835	1.09876	1.08865	1.09258	118185	0	5
2015.06.02	1.09257	1.11927	1.09152	1.11501	189524	0	5
2015.06.03	1.11499	1.12843	1.10811	1.12737	102112	0	2
2015.06.04	1.12736	1.13793	1.12219	1.12372	67030	0	1
2015.06.05	1.12370	1.12793	1.10489	1.11163	185260	0	5
2015.06.08	1.11018	1.13063	1.10837	1.12908	151939	0	5
2015.06.09	1.12902	1.13446	1.12136	1.12817	171017	0	5
2015.06.10	1.12796	1.13855	1.12599	1.13230	187092	0	5
2015.06.11	1.13232	1.13306	1.11816	1.12566	150647	0	5
2015.06.12	1.12567	1.12961	1.11509	1.12621	148197	0	5
2015.06.15	1.12133	1.12938	1.11893	1.12820	112556	0	6
2015.06.16	1.12830	1.13292	1.12044	1.12467	128956	0	4
2015.06.17	1.12467	1.13574	1.12057	1.13365	150512	0	5
2015.06.18	1.13365	1.14360	1.13297	1.13595	164081	0	5
2015.06.19	1.13575	1.13962	1.12915	1.13483	127247	0	5
2015.06.22	1.13740	1.14097	1.13115	1.13396	132015	0	5
2015.06.23	1.13398	1.13469	1.11347	1.11674	155646	0	5
2015.06.24	1.11663	1.12344	1.11539	1.12033	143646	0	5
2015.06.25	1.12056	1.12273	1.11534	1.12035	122528	0	5
2015.06.26	1.12023	1.12194	1.11297	1.11713	118028	0	5
2015.06.29	1.10047	1.12776	1.09538	1.12350	193963	0	5
2015.06.30	1.12346	1.12437	1.11123	1.11453	156812	0	5
2015.07.01	1.11380	1.11708	1.10425	1.10518	135383	0	5
2015.07.02	1.10525	1.11209	1.10319	1.10826	127664	0	4
2015.07.03	1.10835	1.11175	1.10643	1.11038	100405	0	4
2015.07.06	1.09794	1.10950	1.09688	1.10551	153241	0	7
2015.07.07	1.10551	1.10581	1.09158	1.10103	173620	0	5
2015.07.08	1.10104	1.10925	1.09734	1.10756	160168	0	6
2015.07.09	1.10754	1.11245	1.09910	1.10353	143058	0	4
2015.07.10	1.10353	1.12153	1.10300	1.11541	157300	0	6
2015.07.13	1.10993	1.11963	1.09948	1.10001	148997	0	5
2015.07.14	1.10001	1.10808	1.09649	1.10082	143590	0	5
2015.07.15	1.10082	1.10349	1.09293	1.09477	142338	0	7
2015.07.16	1.09483	1.09620	1.08549	1.08730	142440	0	5
2015.07.17	1.08731	1.09063	1.08281	1.08299	118379	0	7
2015.07.20	1.08332	1.08695	1.08078	1.08245	115065	0	7
2015.07.21	1.08243	1.09690	1.08109	1.09324	148089	0	5
2015.07.22	1.09341	1.09662	1.08691	1.09278	201564	0	4
2015.07.23	1.09234	1.10180	1.09213	1.09826	167751	186244709000	5
2015.07.24	1.09800	1.09955	1.09251	1.09762	123864	175995652000	7
2015.07.27	1.09759	1.11292	1.09687	1.10866	144811	203628425000	7
2015.07.28	1.10871	1.10995	1.10219	1.10592	130748	189336562000	5
2015.07.29	1.10588	1.10837	1.09667	1.09821	137573	191688935000	7
2015.07.30	1.09809	1.09890	1.08931	1.09313	141300	195616530000	5
2015.07.31	1.09304	1.11139	1.09208	1.09831	153941	194204244000	7
2015.08.03	1.09711	1.09957	1.09410	1.09503	133189	191679044000	5
2015.08.04	1.09493	1.09873	1.08786	1.08809	145962	205382383000	7
2015.08.05	1.08783	1.09370	1.08477	1.09052	146918	213087197000	6
2015.08.06	1.09041	1.09433	1.08733	1.09235	130219	187670096000	5
2015.08.07	1.09216	1.09780	1.08548	1.09640	124434	168302423000	5
2015.08.10	1.09623	1.10411	1.09250	1.10154	100312	140314348000	4
2015.08.11	1.10167	1.10880	1.09602	1.10370	135337	182689070000	7
2015.08.12	1.10390	1.12137	1.10240	1.11553	143564	190941796000	7
2015.08.13	1.11563	1.11885	1.10796	1.11476	111571	152605943000	7
2015.08.14	1.11460	1.11885	1.10976	1.11100	110116	152786016000	4
2015.08.17	1.11140	1.11245	1.10584	1.10728	120954	182187001000	7
2015.08.18	1.10738	1.10935	1.10171	1.10228	118625	180837478000	7
2015.08.19	1.10238	1.11342	1.10174	1.11160	149578	203361542000	7
2015.08.20	1.11154	1.12444	1.11067	1.12375	154304	206698894000	7
2015.08.21	1.12372	1.13884	1.12289	1.13865	186431	244278598000	7
2015.08.24	1.13742	1.17138	1.13679	1.16129	261024	208434553000	7
2015.08.25	1.16168	1.16214	1.13961	1.15127	240331	286284085000	7
2015.08.26	1.15155	1.15612	1.12912	1.13115	231687	293677321000	7
2015.08.27	1.13072	1.13642	1.12028	1.12393	182216	231542552000	7
2015.08.28	1.12428	1.13094	1.11559	1.11803	157044	219971880000	7
2015.08.31	1.11767	1.12620	1.11692	1.12090	123174	184163777000	7
2015.09.01	1.12079	1.13318	1.12077	1.13133	174012	235490083000	7
2015.09.02	1.13127	1.13193	1.12162	1.12258	159394	223252877000	7
2015.09.03	1.12252	1.12430	1.10869	1.11222	143763	205831706000	7
2015.09.04	1.11206	1.11894	1.10897	1.11469	145529	204847038000	7
2015.09.07	1.11571	1.11774	1.11210	1.11684	112259	153195005000	7
2015.09.08	1.11668	1.12292	1.11522	1.12012	144640	208937710000	7
2015.09.09	1.11981	1.12160	1.11313	1.12060	153104	234688486000	7
2015.09.10	1.12020	1.12950	1.11715	1.12776	168140	243099980000	7
2015.09.11	1.12755	1.13493	1.12538	1.13395	146209	202645013000	7
2015.09.14	1.13298	1.13729	1.12832	1.13150	123048	197075491000	7
2015.09.15	1.13145	1.13284	1.12580	1.12687	137018	213710198000	7
2015.09.16	1.12680	1.13204	1.12138	1.12890	132532	199504615000	7
2015.09.17	1.12885	1.14408	1.12842	1.14336	145689	205113452000	7
2015.09.18	1.14333	1.14600	1.12691	1.12985	159089	236593818000	7
2015.09.21	1.12823	1.13298	1.11809	1.11888	139437	216321879000	7
2015.09.22	1.11886	1.12072	1.11130	1.11236	136505	221709409000	7
2015.09.23	1.11229	1.12130	1.11049	1.11844	143671	213755312000	7
2015.09.24	1.11843	1.12956	1.11641	1.12321	159672	233081365000	7
2015.09.25	1.12280	1.12280	1.11159	1.11994	156142	218375155000	7
2015.09.28	1.11910	1.12474	1.11463	1.12436	145183	213683913000	7
2015.09.29	1.12441	1.12810	1.11935	1.12478	156307	235262493000	7
2015.09.30	1.12469	1.12610	1.11569	1.11763	144420	227797803000	4
2015.10.01	1.11748	1.12090	1.11347	1.11939	136303	211697027000	7
2015.10.02	1.11931	1.13181	1.11501	1.12095	152574	215596311000	7
2015.10.05	1.12202	1.12890	1.11731	1.11871	155664	239551558000	7
2015.10.06	1.11854	1.12792	1.11717	1.12704	136981	223034765000	7
2015.10.07	1.12706	1.12840	1.12112	1.12368	145693	243815744000	7
2015.10.08	1.12353	1.13265	1.12341	1.12756	139258	225090409000	7
2015.10.09	1.12748	1.13869	1.12667	1.13569	145604	226459743000	7
2015.10.12	1.13588	1.13966	1.13547	1.13578	94013	146606375000	7
2015.10.13	1.13571	1.14108	1.13438	1.13782	124917	206748865000	7
2015.10.14	1.13773	1.14889	1.13768	1.14730	138506	228096319000	7
2015.10.15	1.14723	1.14949	1.13629	1.13803	144400	235172570000	7
2015.10.16	1.13819	1.13945	1.13339	1.13474	122270	184775914000	0
2015.10.19	1.13546	1.13788	1.13054	1.13269	124837	197187155000	7
2015.10.20	1.13268	1.13868	1.13237	1.13453	110310	184550685000	7
2015.10.21	1.13430	1.13772	1.13342	1.13382	111411	188934438000	7
2015.10.22	1.13372	1.13507	1.10998	1.11087	150246	245739417000	0
2015.10.23	1.11055	1.11394	1.09963	1.10169	153746	239950531000	0
2015.10.26	1.10071	1.10682	1.10035	1.10529	114119	191914735000	0
2015.10.27	1.10524	1.10780	1.10300	1.10462	115382	177658025000	0
2015.10.28	1.10454	1.10955	1.08966	1.09267	128620	208717084000	0
2015.10.29	1.09268	1.09862	1.09026	1.09858	125217	205707051000	0
2015.10.30	1.09858	1.10723	1.09653	1.10050	137706	215424727000	7
2015.11.02	1.10266	1.10527	1.09998	1.10150	109114	180150735000	7
2015.11.03	1.10139	1.10298	1.09357	1.09627	119749	200543770000	0
2015.11.04	1.09626	1.09675	1.08439	1.08653	136540	228434482000	0
2015.11.05	1.08628	1.08972	1.08333	1.08828	133932	216939064000	0
2015.11.06	1.08825	1.08935	1.07070	1.07390	132696	202222443000	0
2015.11.09	1.07283	1.07896	1.07191	1.07499	146695	219242469000	4
2015.11.10	1.07500	1.07637	1.06740	1.07227	141813	224497885000	4
2015.11.11	1.07214	1.07733	1.07054	1.07417	131074	197648428000	7
2015.11.12	1.07432	1.08301	1.06906	1.08120	175868	263659947000	7
2015.11.13	1.08103	1.08167	1.07137	1.07668	158760	246799231000	0
2015.11.16	1.07366	1.07578	1.06744	1.06847	148817	230761945000	7
2015.11.17	1.06770	1.06904	1.06305	1.06430	145784	237581338000	0
2015.11.18	1.06413	1.06922	1.06166	1.06583	135966	218959615000	7
2015.11.19	1.06574	1.07628	1.06549	1.07338	156694	252476817000	0
2015.11.20	1.07322	1.07382	1.06397	1.06451	141561	229651629000	7
2015.11.23	1.06372	1.06565	1.05922	1.06354	150590	249074624000	0
2015.11.24	1.06355	1.06733	1.06193	1.06426	154783	244526722000	0
2015.11.25	1.06428	1.06890	1.05657	1.06238	163860	263077918000	0
2015.11.26	1.06228	1.06270	1.05996	1.06102	100405	156318896000	7
2015.11.27	1.06101	1.06376	1.05682	1.05938	122303	193526246000	0
2015.11.30	1.05887	1.05947	1.05576	1.05643	125836	206755500000	2
2015.12.01	1.05639	1.06369	1.05629	1.06324	142795	240856439000	0
2015.12.02	1.06340	1.06355	1.05505	1.06135	148672	248002153000	0
2015.12.03	1.06121	1.09807	1.05222	1.09385	193877	292711038000	7
2015.12.04	1.09408	1.09559	1.08357	1.08779	197815	289168668000	7
2015.12.07	1.08681	1.08872	1.07958	1.08366	137004	222472652000	7
2015.12.08	1.08348	1.09021	1.08299	1.08920	147793	234642636000	0
2015.12.09	1.08895	1.10427	1.08789	1.10244	173961	260447059000	7
2015.12.10	1.10214	1.10242	1.09247	1.09401	152562	234855869000	7
2015.12.11	1.09395	1.10305	1.09263	1.09894	163728	217507404000	7
2015.12.14	1.09801	1.10483	1.09452	1.09922	173997	248298521000	7
2015.12.15	1.09905	1.10593	1.09044	1.09285	159311	229326984000	7
2015.12.16	1.09289	1.10116	1.08878	1.09104	173023	228037815000	7
2015.12.17	1.09097	1.09138	1.08023	1.08245	150539	201998033000	0
2015.12.18	1.08242	1.08742	1.08047	1.08613	156544	201864071000	7
2015.12.21	1.08511	1.09387	1.08457	1.09139	127939	165604315000	7
2015.12.22	1.09133	1.09839	1.09021	1.09568	120357	159462304000	7
2015.12.23	1.09506	1.09568	1.08696	1.09099	104495	130519778000	7
2015.12.24	1.09087	1.09673	1.09023	1.09542	61302	70143103000	0
2015.12.28	1.09441	1.09922	1.09441	1.09681	79315	90971557000	0
2015.12.29	1.09641	1.09914	1.08988	1.09180	92900	110391898000	0
2015.12.30	1.09214	1.09434	1.09014	1.09312	93938	113234571000	0
2015.12.31	1.09303	1.09368	1.08526	1.08609	66736	78696821000	0
